Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"3,774","3,423","3,462","3,954","3,917","3,433","3,590","3,821","4,417","3,942","4,296","4,173","4,517"
Expenses+,"2,817","2,741","2,745","3,051","3,004","2,812","2,905","3,070","3,339","3,193","3,460","3,340","3,496"
Operating Profit,957,681,717,903,913,620,685,752,"1,078",749,835,834,"1,020"
OPM %,25%,20%,21%,23%,23%,18%,19%,20%,24%,19%,19%,20%,23%
Other Income+,152,94,134,587,40,"1,166",58,53,57,80,81,-176,-28
Interest,249,233,248,267,227,236,226,223,212,277,272,210,232
Depreciation,364,358,389,414,407,405,420,425,436,455,473,515,513
Profit before tax,497,184,214,808,319,"1,146",98,156,487,97,171,-68,248
Tax %,17%,19%,19%,7%,30%,25%,72%,48%,6%,8%,22%,-24%,20%
Net Profit+,414,149,173,753,223,862,27,81,459,89,133,-52,199
EPS in Rs,2.61,0.84,1.05,5.50,1.13,5.49,-0.13,0.21,2.87,0.23,0.63,1.08,0.78
Raw PDF,,,,,,,,,,,,,
