Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,620","1,634","1,745","1,969","2,061","1,853","1,586","2,025","2,149","2,099","1,751","1,871","1,927"
Expenses+,898,910,"1,026","1,150","1,307","1,049",903,"1,041","1,151","1,147",826,849,844
Operating Profit,722,724,719,819,755,804,683,984,998,952,925,"1,022","1,083"
OPM %,45%,44%,41%,42%,37%,43%,43%,49%,46%,45%,53%,55%,56%
Other Income+,79,111,130,109,443,119,166,"5,869",69,66,49,-2,50
Interest,373,381,435,433,615,439,434,461,458,462,451,436,406
Depreciation,222,237,233,251,274,255,231,265,286,269,262,289,321
Profit before tax,205,217,182,243,309,229,183,"6,127",323,286,261,295,406
Tax %,37%,38%,47%,23%,39%,39%,46%,2%,33%,29%,46%,29%,27%
Net Profit+,130,134,96,187,189,140,100,"6,026",215,202,141,211,296
EPS in Rs,0.11,0.11,0.08,0.16,0.16,0.12,0.08,4.99,0.18,0.17,0.12,0.17,0.25
Raw PDF,,,,,,,,,,,,,
