Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"11,364","12,498","13,382","14,164","14,926","16,100","17,091","18,035","18,294","19,524","20,179","21,013","21,606"
Interest,"3,592","4,103","4,537","4,868","5,217","5,684","6,149","6,386","6,551","6,918","7,011","7,339","7,398"
Expenses+,"3,382","3,693","3,931","4,229","4,420","4,956","5,338","5,691","5,865","5,992","6,307","7,737","6,553"
Financing Profit,"4,390","4,703","4,914","5,066","5,289","5,460","5,604","5,958","5,879","6,614","6,861","5,937","7,654"
Financing Margin %,39%,38%,37%,36%,35%,34%,33%,33%,32%,34%,34%,28%,35%
Other Income+,5,5,2,5,9,5,7,26,21,5,5,-262,11
Depreciation,134,156,159,176,193,200,210,219,252,251,258,244,256
Profit before tax,"4,261","4,551","4,758","4,896","5,105","5,265","5,401","5,765","5,647","6,368","6,608","5,431","7,410"
Tax %,26%,24%,25%,26%,25%,26%,26%,25%,20%,25%,25%,25%,25%
Net Profit+,"3,158","3,437","3,551","3,639","3,825","3,912","4,014","4,308","4,546","4,765","4,948","4,066","5,553"
EPS in Rs,5.22,5.67,5.86,5.89,6.18,6.32,6.46,6.86,7.21,7.56,7.84,6.39,8.78
Gross NPA %,0.94%,0.87%,0.91%,0.95%,0.85%,0.86%,1.06%,1.12%,0.96%,1.03%,1.24%,1.21%,1.01%
Net NPA %,0.34%,0.31%,0.31%,0.37%,0.37%,0.38%,0.46%,0.48%,0.44%,0.50%,0.60%,0.47%,0.41%
Raw PDF,,,,,,,,,,,,,
