Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"2,566","2,601","2,817","3,025","3,384","3,353","3,527","4,822","6,186","6,060","6,388","6,650"
Expenses+,"2,128","2,131","2,253","2,450","2,772","2,731","2,698","3,604","4,911","4,823","5,142","5,383"
Operating Profit,438,470,563,574,612,622,830,"1,219","1,274","1,237","1,246","1,267"
OPM %,17%,18%,20%,19%,18%,19%,24%,25%,21%,20%,20%,19%
Other Income+,24,24,27,15,37,36,39,87,62,67,74,134
Interest,84,58,64,52,49,50,33,23,79,74,50,52
Depreciation,154,152,149,140,131,137,147,141,174,189,208,216
Profit before tax,223,284,377,398,469,472,689,"1,142","1,084","1,040","1,063","1,134"
Tax %,22%,26%,24%,27%,29%,20%,25%,26%,25%,23%,23%,24%
Net Profit+,174,211,287,290,335,377,515,842,814,805,815,866
EPS in Rs,4.61,5.59,7.76,7.86,9.23,10.95,14.97,24.47,23.82,23.56,23.85,25.35
Dividend Payout %,20%,18%,2%,2%,2%,8%,6%,1%,9%,21%,21%,20%
