Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,390","2,763","3,049","3,046","3,222","3,601","3,992","4,410","4,961","5,561","6,148","6,383"
Expenses+,"2,964","3,387","3,575","3,536","3,766","4,155","4,718","5,374","5,916","6,360","6,931","7,081"
Operating Profit,-575,-624,-526,-490,-544,-554,-726,-964,-955,-799,-783,-698
OPM %,-24%,-23%,-17%,-16%,-17%,-15%,-18%,-22%,-19%,-14%,-13%,-11%
Other Income+,119,87,78,73,75,82,107,121,87,59,86,266
Interest,17,15,18,20,20,23,26,32,41,48,55,56
Depreciation,91,105,108,117,122,131,154,206,288,304,313,312
Profit before tax,-564,-657,-574,-555,-611,-626,-799,"-1,081","-1,197","-1,092","-1,065",-800
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Net Profit+,-564,-657,-574,-555,-611,-626,-799,"-1,081","-1,197","-1,092","-1,065",-800
EPS in Rs,,,,,,-62.75,-3.57,-4.73,-4.80,-4.38,-3.86,-2.90
Raw PDF,,,,,,,,,,,,
