Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"22,163","23,613","24,732","25,521","26,510","26,527","26,887","26,720","27,869","27,475","26,205","26,819","26,676"
Interest,"13,810","14,664","15,498","16,236","16,966","17,004","17,720","17,350","18,245","18,231","17,247","17,370","17,005"
Expenses+,"10,041","7,978","7,962","8,012","9,365","9,367","8,686","8,096","9,673","8,844","9,056","7,994","8,744"
Financing Profit,"-1,688",971,"1,271","1,273",179,156,480,"1,274",-49,400,-98,"1,455",927
Financing Margin %,-8%,4%,5%,5%,1%,1%,2%,5%,-0%,1%,-0%,5%,3%
Other Income+,"5,601","4,209","4,221","4,281","5,102","4,799","5,926","4,614","6,223","4,869","5,550","5,183","5,999"
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,"3,912","5,180","5,492","5,554","5,281","4,954","6,406","5,889","6,175","5,269","5,453","6,638","6,926"
Tax %,28%,37%,35%,35%,37%,27%,26%,22%,19%,21%,21%,24%,23%
Net Profit+,"2,812","3,272","3,572","3,625","3,328","3,642","4,751","4,623","5,011","4,428","4,426","5,073","5,504"
EPS in Rs,4.11,4.79,4.82,4.89,4.36,4.77,6.22,6.06,6.56,5.80,5.80,6.65,7.21
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
