Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"5,304","5,145","4,483","4,465","5,973","5,731","4,791","6,128","8,090","9,323","10,389","10,694"
Expenses+,"4,842","4,712","4,049","4,088","5,516","5,331","4,435","5,715","7,489","8,526","9,479","9,668"
Operating Profit,462,433,434,377,457,401,356,414,601,797,910,"1,026"
OPM %,9%,8%,10%,8%,8%,7%,7%,7%,7%,9%,9%,10%
Other Income+,73,118,95,115,60,105,54,135,156,307,250,329
Interest,82,12,10,13,14,15,21,25,38,88,117,139
Depreciation,134,72,82,82,92,117,115,113,117,148,159,208
Profit before tax,319,467,438,397,410,375,275,410,603,869,884,"1,008"
Tax %,54%,31%,36%,42%,21%,43%,25%,24%,25%,26%,29%,29%
Net Profit+,148,282,216,231,325,212,207,312,451,643,627,720
EPS in Rs,17.60,23.69,18.72,19.48,27.31,17.83,17.34,26.21,37.79,54.15,53.25,60.47
Dividend Payout %,40%,24%,30%,29%,24%,37%,38%,32%,25%,21%,25%,31%
