Metric,Mar 201515m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"12,086","9,701","10,435","11,690","12,085","9,842","9,718","11,782","14,929","16,727","18,087","20,035"
Expenses+,"10,104","7,823","8,473","9,597","9,931","8,358","8,555","10,319","13,120","14,632","15,778","17,384"
Operating Profit,"1,981","1,878","1,963","2,093","2,154","1,483","1,163","1,462","1,810","2,095","2,310","2,650"
OPM %,16%,19%,19%,18%,18%,15%,12%,12%,12%,13%,13%,13%
Other Income+,537,623,912,418,600,-105,-241,391,471,"1,566",816,"1,410"
Interest,14,13,27,3,13,10,14,29,12,51,17,27
Depreciation,548,386,456,467,402,383,341,324,386,430,376,392
Profit before tax,"1,956","2,102","2,391","2,041","2,339",985,567,"1,500","1,882","3,181","2,733","3,642"
Tax %,32%,27%,27%,33%,32%,34%,15%,19%,24%,22%,26%,24%
Net Profit+,"1,338","1,531","1,741","1,371","1,598",650,482,"1,217","1,424","2,490","2,013","2,770"
EPS in Rs,426.03,487.72,570.47,449.14,541.81,220.32,163.59,412.70,482.99,844.42,682.62,939.29
Dividend Payout %,20%,17%,29%,22%,19%,48%,70%,51%,99%,44%,75%,29%
