Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,803,718,682,612,898,784,753,671,940,809,773,764,"1,073"
Expenses+,650,582,546,510,699,643,620,565,730,666,635,669,838
Operating Profit,153,136,136,102,199,141,133,107,210,142,138,96,235
OPM %,19%,19%,20%,17%,22%,18%,18%,16%,22%,18%,18%,13%,22%
Other Income+,7,9,10,11,11,12,12,13,14,10,10,6,3
Interest,1,1,1,1,1,1,1,1,1,1,1,1,1
Depreciation,21,21,21,21,22,22,21,21,21,21,27,29,30
Profit before tax,137,123,124,91,187,130,124,98,202,130,121,72,207
Tax %,24%,27%,25%,26%,24%,26%,27%,24%,7%,20%,26%,31%,25%
Net Profit+,105,90,93,68,141,96,90,74,187,104,89,50,155
EPS in Rs,13.89,11.98,12.37,8.98,18.80,12.80,11.96,9.88,24.84,13.86,11.89,6.63,20.58
Raw PDF,,,,,,,,,,,,,
