Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,307,321,337,340,378,385,420,424,441,403,444,494,535
Expenses+,224,234,253,249,282,281,305,310,321,298,329,382,424
Operating Profit,83,87,84,90,96,104,115,114,119,106,115,111,110
OPM %,27%,27%,25%,27%,26%,27%,27%,27%,27%,26%,26%,23%,21%
Other Income+,9,14,15,17,15,17,27,24,27,43,35,21,19
Interest,2,2,2,3,3,3,3,3,2,3,3,6,6
Depreciation,15,16,16,16,16,20,21,21,21,23,25,29,38
Profit before tax,75,83,81,88,92,98,118,113,123,123,122,98,85
Tax %,22%,24%,23%,26%,26%,25%,26%,25%,25%,24%,25%,27%,24%
Net Profit+,59,63,62,65,68,74,87,85,92,93,92,71,65
EPS in Rs,6.13,6.54,6.48,6.78,7.12,7.71,8.63,8.41,9.06,9.19,9.06,7.00,6.54
Raw PDF,,,,,,,,,,,,,
