Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,695,726,760,870,"1,217","1,465","1,695","2,192"
Expenses+,520,558,593,743,"1,048","1,178","1,285","1,561"
Operating Profit,176,168,167,126,169,287,410,631
OPM %,25%,23%,22%,15%,14%,20%,24%,29%
Other Income+,6,18,27,28,27,29,35,41
Interest,24,22,33,54,81,88,78,39
Depreciation,44,55,80,90,99,119,139,167
Profit before tax,113,109,82,10,16,109,228,466
Tax %,35%,30%,25%,36%,39%,24%,25%,25%
Net Profit+,73,76,61,6,10,83,170,349
EPS in Rs,,,,,,,8.16,16.48
Dividend Payout %,0%,0%,0%,"1,117%",676%,0%,0%,0%
