Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"5,129","6,150","7,256","8,243","9,617","11,247","10,560","14,663","16,612","19,059","21,794","25,228"
Expenses+,"4,392","5,465","6,522","7,442","8,548","9,656","9,420","12,474","14,548","16,665","18,761","21,459"
Operating Profit,737,684,734,801,"1,070","1,591","1,140","2,189","2,065","2,394","3,033","3,769"
OPM %,14%,11%,10%,10%,11%,14%,11%,15%,12%,13%,14%,15%
Other Income+,47,92,60,24,26,222,103,368,75,123,222,217
Interest,118,180,257,295,327,533,449,379,381,449,458,450
Depreciation,212,264,314,359,396,620,573,601,615,687,758,876
Profit before tax,455,332,222,171,373,660,221,"1,578","1,144","1,380","2,039","2,661"
Tax %,29%,29%,41%,65%,47%,34%,38%,30%,22%,32%,26%,25%
Net Profit+,335,235,131,60,200,432,137,"1,108",844,935,"1,505","2,003"
EPS in Rs,24.43,16.99,15.88,8.44,16.96,32.70,10.46,73.42,56.97,62.50,100.56,135.04
Dividend Payout %,24%,35%,38%,59%,35%,18%,29%,16%,26%,26%,13%,15%
