Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"3,182","3,798","4,385","4,639","5,235","5,360","4,264","6,046","7,977","9,685","11,968","12,402"
Expenses+,"3,014","3,631","4,162","4,372","4,887","5,077","4,024","5,698","7,478","9,017","11,089","11,472"
Operating Profit,168,167,223,266,348,283,240,347,500,669,879,930
OPM %,5%,4%,5%,6%,7%,5%,6%,6%,6%,7%,7%,8%
Other Income+,-34,66,34,22,26,40,62,36,195,44,83,24
Interest,49,43,38,29,48,29,65,46,55,58,49,72
Depreciation,43,57,61,64,75,88,92,86,85,98,128,179
Profit before tax,43,132,159,196,251,206,145,251,555,557,785,703
Tax %,-18%,21%,23%,25%,17%,32%,32%,33%,28%,26%,25%,25%
Net Profit+,54,106,123,144,190,144,101,168,401,414,591,527
EPS in Rs,3.01,5.82,6.44,7.50,9.87,7.44,5.21,8.71,20.79,20.18,28.75,25.66
Dividend Payout %,83%,56%,58%,67%,51%,67%,38%,57%,29%,35%,31%,33%
