Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"13,203","9,691","11,429","11,093","13,542","10,724","11,148","11,995","14,696","11,709","12,577","14,830","17,246"
Expenses+,"11,245","8,183","9,559","9,131","10,975","8,856","9,108","9,659","11,705","9,535","10,136","12,008","13,938"
Operating Profit,"1,958","1,509","1,870","1,961","2,567","1,868","2,040","2,336","2,991","2,173","2,441","2,822","3,308"
OPM %,15%,16%,16%,18%,19%,17%,18%,19%,20%,19%,19%,19%,19%
Other Income+,97,53,-1,46,10,36,245,75,22,103,103,-140,186
Interest,582,655,715,783,829,904,962,"1,011","1,053","1,112","1,152","1,200","1,241"
Depreciation,259,227,227,241,233,235,244,268,340,273,268,282,314
Profit before tax,"1,214",679,927,984,"1,516",765,"1,078","1,132","1,621",891,"1,124","1,200","1,940"
Tax %,34%,14%,39%,38%,38%,28%,29%,28%,23%,26%,27%,28%,29%
Net Profit+,803,584,569,609,934,551,767,820,"1,246",658,820,862,"1,381"
EPS in Rs,1.28,0.93,0.90,0.95,1.45,0.87,1.20,1.30,1.92,1.04,1.29,1.38,2.20
Raw PDF,,,,,,,,,,,,,
