Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,729,811,875,986,"1,306",904,918,975,"1,016",953,"1,115","1,121","1,233"
Expenses+,298,318,369,434,679,373,400,422,457,389,449,465,484
Operating Profit,431,492,506,552,627,531,518,553,560,564,667,656,750
OPM %,59%,61%,58%,56%,48%,59%,56%,57%,55%,59%,60%,59%,61%
Other Income+,74,29,32,34,37,38,37,46,42,32,31,22,57
Interest,97,96,96,104,100,103,103,103,94,95,92,102,97
Depreciation,65,63,66,66,76,77,78,81,90,93,91,86,89
Profit before tax,343,363,375,416,489,388,374,415,418,407,515,490,620
Tax %,14%,20%,19%,17%,20%,19%,22%,15%,17%,21%,26%,25%,22%
Net Profit+,292,291,305,345,392,315,292,353,348,321,384,366,485
EPS in Rs,7.11,6.73,7.07,7.82,9.14,6.50,6.10,7.41,7.52,6.73,8.50,7.71,11.28
Raw PDF,,,,,,,,,,,,,
