Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,311","1,933","2,302","2,324","2,764","2,184","2,616","2,529","3,046","2,158","2,474","2,635","3,428"
Expenses+,"2,111","1,801","2,098","2,137","2,491","2,044","2,338","2,340","2,747","1,933","2,302","2,380","3,054"
Operating Profit,200,132,204,187,273,141,278,188,300,225,172,255,374
OPM %,9%,7%,9%,8%,10%,6%,11%,7%,10%,10%,7%,10%,11%
Other Income+,58,2,66,185,55,84,60,32,78,66,85,121,56
Interest,14,13,20,27,28,27,29,29,31,30,32,34,42
Depreciation,29,29,33,36,50,36,42,35,45,49,51,53,54
Profit before tax,214,91,217,309,251,161,266,156,301,211,174,289,334
Tax %,27%,34%,27%,23%,25%,32%,26%,27%,32%,28%,31%,29%,27%
Net Profit+,156,60,159,237,188,109,198,114,206,151,119,205,244
EPS in Rs,13.09,4.94,13.24,20.00,15.97,9.72,16.54,9.73,17.27,12.79,10.04,17.14,20.50
Raw PDF,,,,,,,,,,,,,
