Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,828,678,460,532,"1,077","1,321",671,968,"1,910","1,504",655,"1,412","1,717"
Expenses+,752,612,423,490,960,"1,190",615,883,"1,698","1,383",625,"1,295","1,598"
Operating Profit,76,66,38,42,116,131,56,85,212,121,30,117,119
OPM %,9%,10%,8%,8%,11%,10%,8%,9%,11%,8%,5%,8%,7%
Other Income+,1,1,3,5,3,4,4,7,20,18,15,9,13
Interest,18,14,12,10,16,18,15,22,33,34,17,25,26
Depreciation,10,11,11,11,14,15,15,16,19,21,22,22,24
Profit before tax,49,42,18,26,91,101,30,54,180,85,6,79,82
Tax %,18%,20%,30%,26%,21%,16%,35%,25%,19%,21%,62%,24%,22%
Net Profit+,40,34,12,19,70,84,19,40,145,67,3,62,65
EPS in Rs,1.77,1.49,0.48,0.74,2.67,3.21,0.74,1.40,5.13,2.36,0.10,2.17,2.27
Raw PDF,,,,,,,,,,,,,
