Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"5,795","6,081","6,076","6,546","7,731","8,844","9,722","11,961","13,798","13,279","14,230","15,880"
Expenses+,"4,925","5,218","5,108","5,483","6,407","7,193","7,919","9,844","11,365","10,857","11,583","12,901"
Operating Profit,870,863,969,"1,062","1,324","1,650","1,803","2,118","2,434","2,422","2,647","2,978"
OPM %,15%,14%,16%,16%,17%,19%,19%,18%,18%,18%,19%,19%
Other Income+,194,172,223,149,177,178,133,160,162,218,255,290
Interest,28,24,14,13,17,81,63,74,97,161,166,204
Depreciation,98,121,79,71,76,232,242,291,325,410,476,555
Profit before tax,938,890,"1,099","1,128","1,407","1,515","1,631","1,913","2,173","2,068","2,260","2,509"
Tax %,28%,29%,28%,26%,24%,22%,25%,25%,25%,25%,25%,26%
Net Profit+,675,632,792,838,"1,073","1,185","1,217","1,431","1,638","1,555","1,702","1,863"
EPS in Rs,32.10,30.05,37.62,43.34,57.64,63.52,65.06,76.19,86.94,82.27,89.55,97.61
Dividend Payout %,50%,67%,45%,46%,47%,55%,100%,60%,58%,67%,64%,64%
