Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"1,843","2,123","1,583","1,604","2,817","2,441",765,"1,825","2,252","3,036","4,923","5,131"
Expenses+,"1,586","1,986","1,330","1,819","2,639","2,181","1,214","1,880","2,045","3,165","4,997","5,585"
Operating Profit,257,137,253,-216,178,260,-449,-56,207,-130,-74,-453
OPM %,14%,6%,16%,-13%,6%,11%,-59%,-3%,9%,-4%,-2%,-9%
Other Income+,83,146,150,499,419,473,568,761,787,"1,326","2,044","3,256"
Interest,5,41,104,150,234,220,185,167,174,152,174,137
Depreciation,10,14,14,16,14,21,20,21,24,45,74,116
Profit before tax,326,228,284,117,348,493,-86,516,795,"1,000","1,723","2,551"
Tax %,28%,30%,27%,26%,27%,44%,121%,32%,22%,25%,19%,28%
Net Profit+,236,160,207,87,253,274,-189,351,621,747,"1,389","1,841"
EPS in Rs,9.58,7.33,9.56,4.01,11.04,10.73,-6.82,12.68,20.55,26.08,46.48,61.43
Dividend Payout %,21%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,16%
