Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"3,102","4,310","4,352","3,244","3,387","4,863","4,700","3,561","3,877","5,202","5,267","4,005","4,096"
Expenses+,"2,589","3,586","3,706","2,898","2,977","4,492","3,804","2,951","3,065","4,338","4,206","3,226","3,353"
Operating Profit,513,724,646,346,410,371,896,610,812,864,"1,061",779,743
OPM %,17%,17%,15%,11%,12%,8%,19%,17%,21%,17%,20%,19%,18%
Other Income+,547,323,423,617,645,744,189,396,293,311,156,257,531
Interest,289,308,305,296,325,322,328,339,335,363,337,343,317
Depreciation,221,300,303,303,311,301,295,305,304,304,311,308,304
Profit before tax,550,439,461,364,419,492,462,362,466,508,569,385,653
Tax %,19%,16%,21%,17%,1%,21%,19%,22%,17%,20%,21%,21%,30%
Net Profit+,445,368,363,301,415,388,373,282,385,404,448,304,459
EPS in Rs,3.27,2.62,2.63,2.12,3.02,2.85,2.66,2.00,2.81,2.92,3.23,2.15,3.31
Raw PDF,,,,,,,,,,,,,
