Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,556","1,663","1,668","1,771","1,815","2,002","1,963","2,116","2,101","2,270","2,363","2,470"
Expenses+,"1,261","1,334","1,374","1,460","1,479","1,621","1,608","1,714","1,684","1,794","1,871","1,990"
Operating Profit,296,329,294,311,336,381,355,402,417,475,493,480
OPM %,19%,20%,18%,18%,19%,19%,18%,19%,20%,21%,21%,19%
Other Income+,15,-2,22,12,23,36,4,-6,0,3,-36,14
Interest,52,59,61,65,59,46,32,39,27,33,38,46
Depreciation,67,70,84,91,94,97,97,97,99,105,105,106
Profit before tax,191,198,171,167,207,273,230,261,291,341,314,341
Tax %,26%,26%,30%,27%,26%,26%,32%,24%,26%,26%,26%,29%
Net Profit+,141,146,120,121,153,202,156,197,215,251,231,244
EPS in Rs,7.21,7.69,6.27,6.36,7.95,10.29,8.11,9.97,10.92,12.84,12.16,12.84
Raw PDF,,,,,,,,,,,,
