Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,535","1,351",955,"1,365","1,708","1,528",902,"1,265","1,361","1,482",904,"1,421","1,427"
Expenses+,"1,238","1,070",734,"1,136","1,376","1,216",683,978,"1,121","1,223",699,"1,113","1,189"
Operating Profit,297,281,220,228,333,312,220,287,239,259,206,309,237
OPM %,19%,21%,23%,17%,19%,20%,24%,23%,18%,18%,23%,22%,17%
Other Income+,7,6,3,22,6,4,4,4,20,2,13,4,60
Interest,47,52,59,57,48,57,62,75,71,95,108,129,137
Depreciation,26,31,35,37,38,35,36,36,37,36,40,44,48
Profit before tax,231,203,129,156,252,225,125,180,151,132,71,139,113
Tax %,26%,26%,26%,35%,25%,28%,36%,36%,3%,25%,27%,32%,25%
Net Profit+,171,150,96,102,190,163,81,115,147,99,52,94,85
EPS in Rs,26.23,23.08,14.75,15.66,29.16,24.95,12.39,17.67,22.55,15.16,8.01,14.47,13.06
Raw PDF,,,,,,,,,,,,,
