Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,456","1,284","1,229","1,245","1,497","1,508","1,354","1,237","1,223","1,201","1,242","1,454","1,511"
Expenses+,609,492,586,595,561,597,701,626,721,559,514,619,570
Operating Profit,847,792,643,650,937,911,654,611,502,643,728,836,941
OPM %,58%,62%,52%,52%,63%,60%,48%,49%,41%,54%,59%,57%,62%
Other Income+,95,51,232,151,229,195,225,264,150,135,140,282,346
Interest,77,62,77,67,59,61,64,61,51,45,44,25,23
Depreciation,167,180,187,194,166,197,206,205,205,197,224,246,222
Profit before tax,698,601,612,540,942,848,610,608,396,536,601,847,"1,043"
Tax %,-4%,4%,3%,0%,4%,4%,6%,2%,8%,6%,3%,4%,-0%
Net Profit+,722,576,595,538,905,812,576,594,363,504,581,813,"1,044"
EPS in Rs,50.57,40.36,41.65,37.70,63.40,56.87,40.32,41.58,25.43,35.34,40.72,56.91,73.13
Raw PDF,,,,,,,,,,,,,
