Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,017","1,098","1,199","1,257","1,318","1,365","1,471","1,478","1,528","1,539","1,588","1,617","1,711"
Expenses+,835,884,959,998,"1,045","1,077","1,174","1,172","1,205","1,244","1,290","1,306","1,394"
Operating Profit,182,214,240,259,272,288,297,306,323,295,298,311,317
OPM %,18%,19%,20%,21%,21%,21%,20%,21%,21%,19%,19%,19%,18%
Other Income+,7,22,9,19,17,54,52,19,60,16,24,-26,12
Interest,11,14,14,16,12,13,10,10,9,12,16,23,22
Depreciation,42,45,48,50,53,53,56,58,58,63,75,81,82
Profit before tax,136,177,188,212,224,277,283,257,316,236,231,181,225
Tax %,18%,24%,25%,26%,26%,26%,28%,27%,23%,27%,27%,26%,27%
Net Profit+,112,134,141,157,166,204,204,187,245,172,169,133,163
EPS in Rs,4.07,4.89,5.14,5.67,6.00,7.45,7.43,6.82,8.93,6.27,6.17,4.86,5.95
Raw PDF,,,,,,,,,,,,,
