Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,825,"1,042","2,020","2,185","2,094","1,915","2,052","1,945","2,707","3,999","4,430","4,078"
Expenses+,615,777,"1,337","1,256","1,300","1,332","1,446","1,681","1,772","2,245","2,234","2,642"
Operating Profit,210,266,683,928,795,583,606,264,936,"1,754","2,196","1,436"
OPM %,25%,25%,34%,42%,38%,30%,30%,14%,35%,44%,50%,35%
Other Income+,0,12,14,40,130,107,104,99,105,126,354,298
Interest,32,23,18,15,19,22,13,18,14,19,24,37
Depreciation,47,51,54,66,81,100,117,143,164,187,235,207
Profit before tax,132,204,624,887,825,569,580,202,862,"1,674","2,291","1,491"
Tax %,1%,24%,22%,22%,22%,19%,24%,16%,17%,17%,18%,8%
Net Profit+,130,156,485,695,642,458,442,170,715,"1,388","1,883","1,418"
EPS in Rs,8.10,9.02,27.88,37.74,35.24,25.31,24.18,9.31,39.18,77.51,105.26,79.20
Dividend Payout %,12%,14%,24%,22%,18%,27%,22%,48%,14%,12%,6%,6%
