Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"4,569","4,771","4,872","5,588","5,645","5,592","5,728","5,798","5,990","5,960","6,100","6,189","6,554"
Expenses+,"3,534","3,747","3,857","4,435","4,569","4,456","4,598","4,617","4,868","4,823","4,926","4,961","5,270"
Operating Profit,"1,034","1,024","1,015","1,153","1,076","1,137","1,129","1,181","1,122","1,137","1,174","1,228","1,284"
OPM %,23%,21%,21%,21%,19%,20%,20%,20%,19%,19%,19%,20%,20%
Other Income+,62,191,25,-212,-32,85,29,-7,926,-46,-38,183,63
Interest,132,131,137,184,186,170,189,187,182,177,202,201,182
Depreciation,618,580,605,603,651,634,648,637,672,666,679,751,731
Profit before tax,345,504,298,154,207,417,321,350,"1,193",249,255,458,434
Tax %,8%,26%,26%,74%,-52%,21%,30%,36%,15%,26%,32%,22%,42%
Net Profit+,327,382,221,45,322,333,227,236,"1,041",190,183,364,259
EPS in Rs,11.44,13.39,7.74,1.57,11.27,11.68,7.97,8.28,36.50,6.67,6.42,12.82,9.24
Raw PDF,,,,,,,,,,,,,
