Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,183,214,235,252,256,260,277,279,261,273,295,540,716
Expenses+,151,177,188,201,202,210,217,217,200,223,241,453,569
Operating Profit,32,38,46,51,54,50,60,61,61,50,54,87,147
OPM %,18%,18%,20%,20%,21%,19%,22%,22%,23%,18%,18%,16%,21%
Other Income+,5,6,4,11,21,18,17,20,20,21,22,-18,3
Interest,0,0,0,0,0,0,0,0,0,0,0,12,18
Depreciation,11,11,10,10,10,9,9,8,8,9,9,28,35
Profit before tax,26,32,39,52,65,58,68,73,72,61,66,29,96
Tax %,-31%,22%,24%,22%,24%,22%,24%,23%,24%,23%,22%,9%,27%
Net Profit+,34,25,30,40,50,45,52,57,55,47,51,26,70
EPS in Rs,3.12,2.30,2.77,3.43,4.24,3.85,4.43,4.79,4.64,3.97,4.32,2.24,5.92
Raw PDF,,,,,,,,,,,,,
