Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"10,256","11,377","12,463","16,340","20,160","18,849","19,421","24,355","31,974","38,779","44,089","56,070"
Expenses+,"9,650","10,558","11,591","14,769","17,997","16,585","17,189","21,601","27,947","33,344","37,514","47,717"
Operating Profit,605,819,871,"1,571","2,163","2,264","2,232","2,755","4,027","5,435","6,575","8,352"
OPM %,6%,7%,7%,10%,11%,12%,11%,11%,13%,14%,15%,15%
Other Income+,80,93,163,71,25,12,36,-5,136,131,99,-28
Interest,62,70,60,338,663,855,881,940,"1,368","1,917","2,093","2,230"
Depreciation,179,262,317,374,442,556,565,743,859,956,"1,046","1,273"
Profit before tax,444,580,658,931,"1,083",865,822,"1,067","1,936","2,693","3,535","4,822"
Tax %,28%,26%,23%,29%,33%,25%,26%,31%,32%,34%,33%,34%
Net Profit+,328,429,509,665,725,647,608,731,"1,309","1,779","2,380","3,186"
EPS in Rs,6.91,9.03,10.76,13.73,14.83,13.15,12.51,15.93,27.97,35.50,47.06,63.53
Dividend Payout %,28%,28%,23%,24%,24%,27%,28%,24%,18%,23%,21%,19%
