Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"2,384","1,976","1,799","2,506","3,294","3,270","3,949","5,397","5,745","5,445","5,370","5,381"
Expenses+,"2,026","1,759","1,508","1,909","2,505","2,646","2,812","3,529","4,612","4,117","4,176","4,128"
Operating Profit,358,218,291,597,790,624,"1,137","1,868","1,134","1,328","1,194","1,253"
OPM %,15%,11%,16%,24%,24%,19%,29%,35%,20%,24%,22%,23%
Other Income+,60,14,16,6,9,-3,48,175,93,129,109,82
Interest,224,252,259,263,253,212,115,20,20,60,55,58
Depreciation,118,126,120,132,133,137,109,105,124,141,155,178
Profit before tax,77,-147,-73,208,414,273,962,"1,918","1,083","1,256","1,092","1,098"
Tax %,8%,-32%,1%,-3%,37%,35%,32%,24%,27%,26%,26%,27%
Net Profit+,71,-100,-74,215,261,177,655,"1,467",793,936,813,802
EPS in Rs,1.01,-1.35,-1.06,2.95,3.58,2.37,9.06,20.81,11.26,13.76,12.13,11.93
Dividend Payout %,5%,0%,0%,0%,0%,0%,10%,12%,7%,7%,17%,8%
