Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,440","2,320","2,279","2,240","2,427","2,293","2,135","2,110","2,273","2,369","2,372","2,393","2,612"
Expenses+,"2,060","1,950","1,934","1,913","2,066","1,933","1,804","1,811","1,937","2,032","2,016","2,058","2,210"
Operating Profit,381,370,345,327,361,360,331,299,335,337,356,335,402
OPM %,16%,16%,15%,15%,15%,16%,15%,14%,15%,14%,15%,14%,15%
Other Income+,75,108,209,18,52,32,27,40,37,23,20,28,31
Interest,24,22,31,30,22,21,17,18,13,2,4,9,9
Depreciation,83,83,78,78,86,84,80,81,86,87,89,96,94
Profit before tax,349,372,445,237,304,287,260,240,273,271,283,259,329
Tax %,20%,19%,16%,29%,24%,24%,25%,23%,25%,25%,24%,21%,24%
Net Profit+,279,302,375,169,230,217,195,185,206,204,214,204,249
EPS in Rs,7.36,7.95,9.90,4.45,6.08,5.72,5.15,4.88,5.44,5.37,5.64,5.39,6.57
Raw PDF,,,,,,,,,,,,,
