Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,371","2,301","2,386","2,422","2,538","2,462","2,573","2,653","2,638","2,866","2,980","2,787","2,858"
Expenses+,"1,890","1,849","1,911","1,934","2,035","2,006","2,107","2,158","2,205","2,404","2,489","2,289","2,336"
Operating Profit,480,453,476,488,503,456,466,495,433,462,491,498,521
OPM %,20%,20%,20%,20%,20%,19%,18%,19%,16%,16%,16%,18%,18%
Other Income+,50,48,41,62,56,62,65,34,80,68,66,9,31
Interest,11,12,13,13,13,13,12,16,16,16,16,15,17
Depreciation,57,57,68,72,75,73,78,73,81,81,93,86,86
Profit before tax,462,431,436,466,471,433,441,440,416,432,448,406,449
Tax %,26%,28%,28%,28%,28%,27%,27%,27%,25%,27%,27%,25%,26%
Net Profit+,341,312,316,337,341,314,320,320,310,316,329,303,333
EPS in Rs,32.20,29.44,29.84,31.79,32.24,29.63,30.20,30.45,29.38,29.79,31.01,28.55,31.33
Raw PDF,,,,,,,,,,,,,
