Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"7,858","8,397","9,054","9,914","11,055","11,600","13,136","14,136","16,301","16,769","17,943","19,152"
Expenses+,"6,988","7,174","7,776","8,413","9,322","9,756","10,627","11,935","13,470","13,603","14,766","15,637"
Operating Profit,870,"1,224","1,278","1,501","1,732","1,843","2,509","2,201","2,831","3,167","3,176","3,514"
OPM %,11%,15%,14%,15%,16%,16%,19%,16%,17%,19%,18%,18%
Other Income+,228,115,151,166,206,263,313,222,597,211,202,224
Interest,4,5,5,8,9,77,111,144,169,164,139,113
Depreciation,144,113,119,142,162,185,198,201,226,300,313,337
Profit before tax,950,"1,220","1,304","1,518","1,768","1,844","2,514","2,078","3,033","2,913","2,927","3,289"
Tax %,28%,32%,32%,34%,35%,24%,26%,27%,24%,27%,26%,23%
Net Profit+,689,825,885,"1,004","1,155","1,394","1,851","1,516","2,316","2,134","2,178","2,537"
EPS in Rs,28.71,34.36,36.85,41.83,48.23,58.33,77.38,63.31,96.39,88.84,90.45,105.18
Dividend Payout %,28%,29%,30%,30%,31%,60%,204%,89%,75%,83%,83%,86%
