Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"3,682","3,407","3,459","3,556","3,597","3,517","3,698","3,759","3,948","3,914","4,023","4,068","4,163"
Expenses+,"3,221","2,765","2,802","2,994","3,076","2,940","3,163","3,397","3,455","3,403","3,582","3,597","3,742"
Operating Profit,461,642,657,562,521,576,535,362,493,511,441,471,421
OPM %,13%,19%,19%,16%,14%,16%,14%,10%,12%,13%,11%,12%,10%
Other Income+,139,129,152,140,161,157,174,170,202,164,178,167,166
Interest,3,2,2,2,3,2,2,2,4,3,3,2,8
Depreciation,94,99,102,102,111,114,119,122,121,124,128,132,133
Profit before tax,503,670,704,599,569,617,588,408,570,548,488,503,447
Tax %,21%,22%,22%,21%,24%,22%,23%,20%,20%,22%,21%,22%,24%
Net Profit+,398,522,553,475,433,480,454,325,453,428,385,392,339
EPS in Rs,2.84,3.73,3.95,3.40,3.10,3.44,3.25,2.33,3.25,3.06,2.76,2.81,2.43
Raw PDF,,,,,,,,,,,,,
