Metric,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Mar 202415m,Mar 2025,Mar 2026
Sales+,"8,175","9,141","10,010","11,292","12,369","13,350","14,741","16,897","19,126","24,394","20,202","23,155"
Expenses+,"6,620","7,292","7,913","8,675","9,443","10,149","11,178","13,191","14,655","18,551","15,430","17,848"
Operating Profit,"1,555","1,850","2,097","2,618","2,926","3,202","3,562","3,706","4,471","5,843","4,771","5,307"
OPM %,19%,20%,21%,23%,24%,24%,24%,22%,23%,24%,24%,23%
Other Income+,-391,140,177,259,247,146,-112,107,116,159,352,160
Interest,3,91,92,112,129,164,202,155,119,145,136,158
Depreciation,347,354,342,336,370,370,391,403,429,568,540,699
Profit before tax,814,"1,545","1,839","2,429","2,673","2,813","2,857","3,256","4,038","5,289","4,447","4,610"
Tax %,31%,35%,33%,34%,26%,26%,26%,27%,26%,26%,25%,23%
Net Profit+,563,"1,001","1,225","1,607","1,968","2,082","2,118","2,391","2,999","3,933","3,314","3,545"
EPS in Rs,2.92,5.19,6.35,8.33,10.21,10.80,10.99,12.40,15.55,20.40,17.19,18.38
Dividend Payout %,83%,61%,68%,69%,168%,93%,91%,89%,56%,79%,79%,65%
