Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"15,023","15,568","14,196","14,281","15,448","17,517","19,048","21,545","24,670","28,011","32,644","33,700"
Expenses+,"11,515","11,983","11,724","11,930","12,270","15,040","15,173","17,778","18,200","20,078","24,097","27,247"
Operating Profit,"3,508","3,585","2,472","2,351","3,178","2,477","3,874","3,768","6,470","7,933","8,547","6,454"
OPM %,23%,23%,17%,16%,21%,14%,20%,17%,26%,28%,26%,19%
Other Income+,260,295,172,155,381,670,335,555,971,909,"1,119","1,372"
Interest,108,83,63,79,89,98,97,96,143,171,283,374
Depreciation,760,939,"1,027","1,077","1,135","1,163","1,229","1,165","1,250","1,470","1,704","2,059"
Profit before tax,"2,900","2,859","1,554","1,350","2,336","1,886","2,884","3,061","6,048","7,201","7,680","5,393"
Tax %,19%,26%,19%,32%,17%,-7%,32%,29%,25%,23%,25%,23%
Net Profit+,"2,336","2,131","1,292",947,"1,950","2,026","1,952","2,182","4,507","5,578","5,725","4,158"
EPS in Rs,27.43,24.98,15.59,11.41,23.49,24.38,23.47,26.23,54.14,66.87,67.77,50.27
Dividend Payout %,15%,16%,26%,35%,17%,21%,21%,23%,15%,12%,12%,16%
