Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"4,063","4,158","4,130","4,205","4,233","4,317","4,394","4,466","4,911","4,789","4,795","4,886","5,566"
Expenses+,"3,541","3,690","3,639","3,627","3,676","3,797","3,834","3,883","4,264","4,149","4,178","4,273","4,784"
Operating Profit,522,468,491,578,557,520,560,583,647,639,617,612,782
OPM %,13%,11%,12%,14%,13%,12%,13%,13%,13%,13%,13%,13%,14%
Other Income+,136,187,939,214,226,179,257,142,237,844,210,200,156
Interest,5,31,12,4,4,3,2,6,6,4,4,4,14
Depreciation,121,92,101,117,119,86,90,101,99,85,92,99,116
Profit before tax,533,532,"1,317",671,661,611,726,618,778,"1,394",730,709,808
Tax %,25%,23%,24%,23%,15%,24%,26%,26%,29%,20%,24%,25%,30%
Net Profit+,398,409,"1,000",518,564,466,537,459,554,"1,116",554,533,570
EPS in Rs,134.98,138.78,338.99,175.70,191.23,158.10,181.97,155.53,187.67,378.42,188.01,180.58,193.26
Raw PDF,,,,,,,,,,,,,
