Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"9,765","10,184","9,797","9,127","9,454","9,430","9,777","9,907","10,198","10,207","10,893","10,518","11,337"
Expenses+,"8,621","8,992","8,566","7,881","8,419","8,219","8,590","8,714","9,165","8,911","9,519","9,110","9,882"
Operating Profit,"1,144","1,192","1,231","1,246","1,035","1,210","1,186","1,193","1,033","1,296","1,374","1,408","1,455"
OPM %,12%,12%,13%,14%,11%,13%,12%,12%,10%,13%,13%,13%,13%
Other Income+,78,76,140,52,53,51,47,99,87,69,107,77,84
Interest,83,100,156,146,153,143,159,161,150,144,141,134,149
Depreciation,181,188,222,236,233,232,241,242,241,252,262,269,278
Profit before tax,957,981,993,917,702,886,834,890,729,969,"1,078","1,082","1,112"
Tax %,25%,25%,23%,25%,29%,27%,27%,26%,19%,26%,25%,24%,25%
Net Profit+,716,738,764,691,501,646,609,654,590,715,808,828,834
EPS in Rs,9.30,9.06,9.40,8.41,6.08,7.87,7.42,7.95,7.17,8.67,9.79,10.05,10.23
Raw PDF,,,,,,,,,,,,,
