Metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025,TTM
Sales+,"2,502","3,394","3,861","4,004","5,105","7,130","6,450","8,823","13,173","16,043","20,008","21,685","22,693"
Expenses+,"2,116","2,752","3,052","3,165","4,069","5,667","5,235","7,129","10,310","12,326","15,189","16,616","17,388"
Operating Profit,387,642,810,838,"1,036","1,462","1,215","1,694","2,863","3,717","4,818","5,070","5,305"
OPM %,15%,19%,21%,21%,20%,21%,19%,19%,22%,23%,24%,23%,23%
Other Income+,14,36,27,14,6,47,-30,51,-18,-5,45,352,368
Interest,187,170,435,215,223,324,294,207,204,292,483,196,177
Depreciation,210,317,322,347,385,489,529,531,617,681,947,"1,216","1,301"
Profit before tax,4,191,79,291,434,696,363,"1,007","2,024","2,739","3,433","4,010","4,195"
Tax %,658%,41%,39%,26%,31%,32%,1%,26%,23%,23%,23%,24%,
Net Profit+,-20,113,48,214,300,472,357,746,"1,550","2,102","2,634","3,062","3,209"
EPS in Rs,-0.09,0.50,0.14,0.68,0.95,1.44,1.01,2.14,4.61,6.33,7.67,8.98,9.40
Dividend Payout %,0%,0%,0%,22%,16%,15%,22%,16%,15%,16%,13%,17%,
