Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"4,170","4,223","4,552","5,166","6,062","6,366","6,818","8,762","10,568","11,199","11,545","11,880"
Expenses+,"3,659","3,578","3,833","4,359","5,127","5,313","5,635","7,431","9,090","9,338","9,688","10,047"
Operating Profit,511,645,719,807,935,"1,053","1,182","1,331","1,478","1,861","1,856","1,833"
OPM %,12%,15%,16%,16%,15%,17%,17%,15%,14%,17%,16%,15%
Other Income+,36,40,108,46,60,69,51,68,48,105,129,104
Interest,50,27,16,25,47,47,44,51,99,78,63,58
Depreciation,92,99,108,124,182,191,211,227,264,331,354,392
Profit before tax,404,559,703,705,765,883,979,"1,122","1,162","1,557","1,568","1,488"
Tax %,34%,34%,33%,35%,35%,26%,26%,26%,26%,25%,25%,24%
Net Profit+,265,371,474,461,494,656,720,833,860,"1,170","1,183","1,128"
EPS in Rs,2.27,3.18,4.07,3.95,4.24,5.64,6.17,7.14,7.37,10.02,10.12,9.66
Dividend Payout %,33%,31%,36%,38%,37%,32%,38%,36%,36%,35%,38%,41%
