Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,836,724,806,822,866,801,869,848,993,867,968,"1,003","1,113"
Expenses+,708,635,663,692,741,687,727,728,843,746,828,860,940
Operating Profit,127,89,143,129,125,114,142,119,150,121,140,144,173
OPM %,15%,12%,18%,16%,14%,14%,16%,14%,15%,14%,14%,14%,16%
Other Income+,128,20,13,13,15,14,16,15,18,23,55,11,22
Interest,5,5,7,8,10,9,8,6,8,7,7,5,6
Depreciation,20,19,19,19,20,19,19,19,20,19,21,21,25
Profit before tax,231,86,130,114,110,100,131,111,140,118,167,129,164
Tax %,26%,29%,30%,27%,31%,27%,28%,27%,27%,27%,27%,26%,22%
Net Profit+,170,60,91,84,76,73,95,81,102,86,121,95,128
EPS in Rs,5.37,1.91,2.88,2.65,2.41,2.30,2.99,2.54,3.22,2.70,3.83,3.00,4.04
Raw PDF,,,,,,,,,,,,,
