Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,929","1,682","1,347","1,429","1,611","1,685","1,716","1,973","2,167","2,154","2,082","2,548","3,053"
Expenses+,"1,571","1,359","1,012","1,074","1,257","1,235","1,271","1,447","1,629","1,620","1,530","1,840","2,227"
Operating Profit,357,323,335,355,354,449,445,527,537,535,552,708,826
OPM %,19%,19%,25%,25%,22%,27%,26%,27%,25%,25%,26%,28%,27%
Other Income+,11,8,8,11,20,26,36,10,7,29,29,25,46
Interest,31,25,25,28,32,27,30,31,29,27,31,34,41
Depreciation,35,34,34,39,37,40,44,47,50,56,61,63,71
Profit before tax,302,272,285,299,305,408,407,459,464,481,490,636,759
Tax %,27%,26%,27%,26%,21%,26%,25%,26%,25%,27%,26%,27%,27%
Net Profit+,221,202,209,222,243,301,304,338,346,353,361,467,556
EPS in Rs,22.78,21.82,22.12,22.47,25.98,31.66,31.59,34.80,35.61,37.43,38.12,49.31,60.52
Raw PDF,,,,,,,,,,,,,
