Metric,Jun 2015,Mar 20169m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"36,701","31,136","47,568","50,569","60,427","70,676","75,379","85,651","101,456","109,913","117,055","130,144"
Expenses+,"28,215","24,482","37,178","39,323","46,501","53,360","55,331","65,122","78,828","85,715","91,551","103,392"
Operating Profit,"8,486","6,654","10,390","11,246","13,926","17,316","20,048","20,529","22,628","24,198","25,504","26,752"
OPM %,23%,21%,22%,22%,23%,24%,27%,24%,22%,22%,22%,21%
Other Income+,"1,126",871,"1,069","1,230",943,589,927,"1,067","1,358","1,495","2,485",574
Interest,91,74,89,69,174,505,511,319,353,553,644,869
Depreciation,404,410,828,"1,383","2,073","3,420","4,611","4,326","4,145","4,173","4,084","4,355"
Profit before tax,"9,117","7,041","10,542","11,024","12,622","13,980","15,853","16,951","19,488","20,967","23,261","22,102"
Tax %,20%,20%,18%,21%,20%,21%,30%,20%,24%,25%,25%,25%
Net Profit+,"7,342","5,602","8,606","8,722","10,120","11,057","11,169","13,523","14,845","15,710","17,399","16,652"
EPS in Rs,26.02,19.86,30.16,31.32,37.31,40.75,41.07,49.74,54.73,57.86,64.08,61.33
Dividend Payout %,58%,40%,40%,19%,11%,25%,24%,84%,88%,90%,94%,88%
