Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"12,255","13,050","13,764","14,203","14,633","15,041","15,369","15,770","15,860","16,285","16,628","17,102","17,488"
Interest,"6,736","7,346","8,003","8,383","8,609","8,861","9,154","9,345","9,467","9,924","10,040","10,203","10,372"
Expenses+,"6,202","5,161","5,150","5,158","5,378","4,994","5,144","5,102","5,097","4,880","5,108","5,492","5,811"
Financing Profit,-683,543,611,661,646,"1,186","1,072","1,323","1,295","1,481","1,480","1,407","1,305"
Financing Margin %,-6%,4%,4%,5%,4%,8%,7%,8%,8%,9%,9%,8%,7%
Other Income+,"2,161","1,871","2,166","2,113","2,432","2,077","2,602","2,397","2,935","1,854","2,643","2,793","2,773"
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,"1,477","2,415","2,777","2,774","3,078","3,263","3,674","3,721","4,230","3,335","4,123","4,199","4,078"
Tax %,1%,29%,28%,23%,27%,26%,25%,23%,30%,33%,26%,27%,24%
Net Profit+,"1,520","1,850","2,069","2,207","2,296","2,571","2,801","2,910","2,982","2,277","3,109","3,148","3,174"
EPS in Rs,12.20,14.85,16.61,16.37,17.04,19.08,20.79,21.60,22.14,16.90,23.07,23.36,23.56
Gross NPA %,5.95%,5.47%,4.97%,4.47%,3.95%,3.77%,3.48%,3.26%,3.09%,3.01%,2.60%,2.23%,1.98%
Net NPA %,0.90%,0.70%,0.60%,0.53%,0.43%,0.39%,0.27%,0.21%,0.19%,0.18%,0.16%,0.15%,0.15%
Raw PDF,,,,,,,,,,,,,
