Metric,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"3,667","3,884","4,007","4,144","4,266","4,465","4,545","4,674","4,745"
Interest,"1,377","1,496","1,598","1,645","1,650","1,740","1,694","1,704","1,682"
Expenses+,"1,368","1,560","1,561","1,809","1,858","1,942","2,017","2,058","1,997"
Financing Profit,922,828,847,689,758,784,835,912,"1,066"
Financing Margin %,25%,21%,21%,17%,18%,18%,18%,20%,22%
Other Income+,0,0,0,0,0,0,0,0,0
Depreciation,40,44,48,49,54,51,52,51,54
Profit before tax,882,784,799,641,704,732,782,860,"1,011"
Tax %,26%,26%,26%,26%,25%,22%,26%,25%,26%
Net Profit+,656,582,591,472,531,568,581,644,751
EPS in Rs,8.27,7.33,7.44,5.95,6.67,6.84,7.01,7.76,9.04
Gross NPA %,1.90%,,2.10%,2.25%,2.26%,2.56%,2.81%,2.81%,2.44%
Net NPA %,,,,0.90%,0.99%,,1.27%,1.25%,1.09%
Raw PDF,,,,,,,,,
