Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,125",900,913,965,"1,224","1,031","1,036","1,144","1,281",979,"1,028","1,116","1,415"
Expenses+,980,790,818,841,"1,033",919,894,978,"1,092",867,919,974,"1,233"
Operating Profit,145,110,95,124,191,112,142,166,190,112,108,142,182
OPM %,13%,12%,10%,13%,16%,11%,14%,14%,15%,11%,11%,13%,13%
Other Income+,13,10,2,16,36,15,14,11,24,16,18,4,1
Interest,8,8,6,5,8,6,6,8,6,6,6,9,9
Depreciation,18,18,19,21,21,21,22,22,24,23,24,25,28
Profit before tax,132,95,72,114,199,100,129,146,184,98,96,112,146
Tax %,31%,30%,34%,27%,28%,29%,26%,22%,33%,28%,30%,-7%,29%
Net Profit+,101,64,51,82,153,66,97,118,138,68,72,125,112
EPS in Rs,12.62,8.02,6.35,10.31,19.17,8.20,12.05,14.76,17.27,8.40,8.94,15.65,14.04
Raw PDF,,,,,,,,,,,,,
