Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"3,893","5,611","3,871","2,668","4,317","7,197","4,805","3,689","5,567","7,017","4,897","4,204","6,574"
Expenses+,"3,095","4,101","2,989","2,249","3,329","5,206","3,654","3,110","4,304","5,020","3,751","3,568","5,049"
Operating Profit,798,"1,511",882,418,989,"1,991","1,151",579,"1,263","1,998","1,146",637,"1,525"
OPM %,20%,27%,23%,16%,23%,28%,24%,16%,23%,28%,23%,15%,23%
Other Income+,10,42,19,9,8,44,24,45,28,77,148,99,44
Interest,63,69,62,74,94,129,119,109,41,37,45,47,49
Depreciation,172,172,171,166,188,242,257,261,273,306,308,330,357
Profit before tax,573,"1,311",667,188,716,"1,663",800,254,978,"1,732",941,359,"1,163"
Tax %,24%,23%,23%,24%,23%,24%,21%,23%,25%,23%,21%,28%,24%
Net Profit+,439,"1,005",514,144,548,"1,262",629,196,731,"1,325",745,260,879
EPS in Rs,1.32,3.06,1.54,0.41,1.65,3.86,1.91,0.55,2.15,3.89,2.19,0.74,2.58
Raw PDF,,,,,,,,,,,,,
