Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"3,382","4,376","4,415","5,223","4,525","5,528","6,065","7,278","6,182","7,268","7,856","10,343","10,275"
Expenses+,"3,125","4,053","4,101","4,853","4,229","5,159","5,738","6,848","5,782","6,760","7,359","9,593","9,539"
Operating Profit,257,323,314,370,296,368,327,430,399,508,497,750,736
OPM %,8%,7%,7%,7%,7%,7%,5%,6%,6%,7%,6%,7%,7%
Other Income+,-19,12,13,20,39,30,26,40,41,46,51,23,46
Interest,80,82,82,82,78,85,90,88,96,104,95,104,130
Depreciation,63,64,67,70,74,75,85,89,93,98,103,109,113
Profit before tax,95,188,178,239,184,237,178,294,251,353,350,560,539
Tax %,26%,24%,24%,24%,25%,25%,27%,26%,25%,25%,26%,26%,24%
Net Profit+,70,144,135,180,137,178,130,219,188,264,261,416,410
EPS in Rs,0.68,1.40,1.31,1.75,1.34,1.72,1.27,2.12,1.82,2.56,2.52,4.03,3.97
Raw PDF,,,,,,,,,,,,,
