Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"1,853","2,012","1,966","1,969","2,082","2,152","2,239","2,611","2,425","2,193","2,281","2,520"
Expenses+,"1,438","1,579","1,616","1,468","1,516","1,578","1,526","1,775","1,616","1,555","1,540","1,616"
Operating Profit,414,433,350,501,566,574,712,836,809,638,742,904
OPM %,22%,22%,18%,25%,27%,27%,32%,32%,33%,29%,33%,36%
Other Income+,44,97,232,114,167,183,81,63,134,185,344,139
Interest,2,1,2,1,2,11,15,11,13,15,8,9
Depreciation,250,58,63,66,71,103,109,115,106,62,61,58
Profit before tax,207,470,517,548,660,642,669,773,824,746,"1,016",976
Tax %,66%,35%,35%,34%,35%,21%,26%,21%,24%,26%,24%,26%
Net Profit+,70,305,337,360,429,509,498,613,624,551,768,722
EPS in Rs,15.26,66.67,73.62,78.71,93.79,111.29,108.77,133.90,136.38,120.52,167.79,157.92
Dividend Payout %,82%,22%,27%,25%,24%,297%,32%,26%,29%,29%,98%,48%
