Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,882,"1,021","1,028","1,105","1,054","1,145","1,187","1,146","1,170","1,303","1,354","1,375","1,422"
Expenses+,732,750,738,791,776,815,875,825,873,951,"1,026",993,"1,088"
Operating Profit,149,271,291,314,278,330,311,321,297,351,328,382,333
OPM %,17%,27%,28%,28%,26%,29%,26%,28%,25%,27%,24%,28%,23%
Other Income+,37,32,21,14,36,26,19,30,18,26,59,25,61
Interest,1,1,2,2,2,1,6,8,6,5,3,5,2
Depreciation,33,33,34,34,34,34,34,36,40,41,43,44,45
Profit before tax,152,269,276,291,278,322,290,307,269,331,341,359,347
Tax %,20%,23%,29%,28%,27%,24%,25%,24%,16%,23%,24%,24%,23%
Net Profit+,122,208,195,210,203,246,216,233,225,255,260,274,267
EPS in Rs,9.54,16.24,15.24,16.39,15.82,19.68,17.33,18.64,18.03,20.44,20.83,21.91,21.35
Raw PDF,,,,,,,,,,,,,
