Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"2,890","3,006","3,163","3,806","4,168","4,186","4,506","6,086","6,619","6,371","7,271","8,286"
Expenses+,"2,424","2,434","2,509","3,106","3,202","3,209","3,525","4,365","5,530","5,393","6,271","7,119"
Operating Profit,466,572,654,700,965,977,982,"1,720","1,089",978,"1,000","1,167"
OPM %,16%,19%,21%,18%,23%,23%,22%,28%,16%,15%,14%,14%
Other Income+,9,6,2,7,2,9,1,1,1,7,16,12
Interest,138,117,117,132,183,125,86,102,168,211,275,340
Depreciation,82,98,123,146,163,185,231,246,310,378,434,474
Profit before tax,255,363,416,429,622,676,665,"1,372",611,395,307,365
Tax %,24%,26%,21%,19%,19%,19%,19%,14%,11%,-5%,-8%,-15%
Net Profit+,208,268,328,346,504,547,535,"1,186",545,416,331,419
EPS in Rs,5.81,7.71,9.62,10.24,14.18,15.39,15.02,32.71,15.04,11.49,9.13,11.56
Dividend Payout %,24%,28%,3%,2%,19%,11%,10%,11%,17%,9%,11%,9%
