Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"1,965","2,435","2,060","2,594","3,092","2,813","2,368","2,976","4,300","4,651","5,056","6,185"
Expenses+,"1,778","2,206","1,868","2,316","2,797","2,558","2,148","2,680","3,837","4,134","4,480","5,464"
Operating Profit,188,229,192,278,295,256,220,296,463,517,576,721
OPM %,10%,9%,9%,11%,10%,9%,9%,10%,11%,11%,11%,12%
Other Income+,23,29,27,27,80,-238,-8,56,16,15,32,14
Interest,39,37,30,40,51,54,39,32,42,57,69,122
Depreciation,60,74,58,74,88,118,94,112,138,166,204,230
Profit before tax,111,147,131,191,236,-154,80,208,298,308,336,383
Tax %,24%,25%,22%,25%,28%,29%,39%,12%,1%,27%,29%,28%
Net Profit+,88,110,102,143,169,-200,53,192,284,227,255,358
EPS in Rs,4.28,5.12,4.88,6.82,7.45,-8.79,2.21,8.03,11.90,9.50,10.68,15.07
Dividend Payout %,9%,10%,10%,9%,9%,-4%,29%,12%,10%,15%,13%,9%
