Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,689","3,275","3,076","3,130","2,902","3,395","3,235","3,369","3,141","3,753","3,554","3,710","3,583"
Expenses+,"2,232","2,569","2,398","2,388","2,327","2,583","2,467","2,571","2,509","2,812","2,704","2,816","2,753"
Operating Profit,458,706,678,742,575,812,768,798,632,941,850,894,831
OPM %,17%,22%,22%,24%,20%,24%,24%,24%,20%,25%,24%,24%,23%
Other Income+,23,23,32,37,-23,54,57,56,55,86,50,60,57
Interest,12,12,13,13,13,12,12,12,14,14,13,13,14
Depreciation,76,73,75,79,113,84,88,90,97,97,100,101,97
Profit before tax,393,644,622,687,426,770,725,752,576,916,787,840,777
Tax %,27%,26%,26%,26%,29%,26%,25%,26%,26%,26%,26%,26%,25%
Net Profit+,286,474,459,511,304,571,540,557,428,678,585,624,584
EPS in Rs,2.78,4.60,4.43,5.02,2.96,5.57,5.26,5.43,4.15,6.61,5.69,6.07,5.69
Raw PDF,,,,,,,,,,,,,
