Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"9,347","9,824","8,263","8,049","9,138","8,273","6,922","8,167","10,332","11,486","11,745","18,901"
Expenses+,"5,723","5,796","4,939","5,336","6,283","5,316","4,009","4,596","7,050","6,104","6,524","8,837"
Operating Profit,"3,624","4,029","3,324","2,713","2,855","2,957","2,913","3,572","3,282","5,382","5,221","10,064"
OPM %,39%,41%,40%,34%,31%,36%,42%,44%,32%,47%,44%,53%
Other Income+,196,340,221,47,398,376,248,575,674,472,916,923
Interest,"1,137","1,498","1,685","1,456","1,192","1,051",896,777,844,"2,053","2,269","5,816"
Depreciation,790,854,969,966,"1,164","1,738","1,167","1,131","1,169","1,633","1,655","3,185"
Profit before tax,"1,892","2,017",892,338,897,544,"1,099","2,238","1,943","2,167","2,214","1,986"
Tax %,27%,28%,30%,75%,24%,6%,25%,22%,24%,20%,10%,-39%
Net Profit+,"1,358","1,460",623,85,684,"1,081",823,"1,743","1,480","1,725","1,983","2,762"
EPS in Rs,8.23,8.83,3.84,0.48,4.24,6.70,4.84,10.51,8.99,10.47,11.16,12.74
Dividend Payout %,24%,22%,13%,-0%,24%,15%,41%,19%,22%,19%,18%,16%
