Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"9,929","9,168","10,165","12,356","14,888","11,799","13,372","8,923","12,376","12,822","9,792","14,259","10,802"
Expenses+,"9,865","9,043","10,021","12,146","14,945","11,608","13,199","8,834","12,356","12,703","9,771","14,181","10,808"
Operating Profit,64,125,144,209,-57,190,173,89,20,119,21,78,-6
OPM %,1%,1%,1%,2%,-0%,2%,1%,1%,0%,1%,0%,1%,-0%
Other Income+,5,3,25,4,10,1,2,3,18,3,7,9,5
Interest,9,9,9,14,11,9,13,10,15,20,21,36,35
Depreciation,1,1,1,1,1,1,1,1,1,1,1,1,0
Profit before tax,58,118,158,198,-59,182,162,81,22,101,6,50,-36
Tax %,10%,14%,-8%,14%,-15%,14%,14%,14%,-73%,14%,6%,11%,-13%
Net Profit+,52,101,170,171,-50,156,139,70,38,86,6,45,-32
EPS in Rs,1.33,2.54,4.29,4.30,-1.28,3.69,3.26,1.62,0.91,2.02,0.12,1.06,-0.76
Raw PDF,,,,,,,,,,,,,
