Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,862","1,730","1,575","1,703","1,781","1,564","1,234","1,497","1,898","1,741","1,532","1,588","1,902"
Expenses+,"1,629","1,534","1,357","1,401","1,445","1,342","1,153","1,297","1,546","1,430","1,324","1,383","1,626"
Operating Profit,233,196,217,302,336,222,81,199,351,311,208,205,275
OPM %,12%,11%,14%,18%,19%,14%,7%,13%,19%,18%,14%,13%,14%
Other Income+,17,11,14,26,26,-20,10,9,23,22,23,10,38
Interest,29,33,34,39,45,48,45,45,44,52,51,55,53
Depreciation,59,56,57,66,68,72,75,76,77,77,78,85,84
Profit before tax,162,119,141,223,250,83,-29,87,253,204,103,75,177
Tax %,29%,33%,32%,33%,35%,31%,8%,14%,31%,27%,22%,24%,29%
Net Profit+,115,80,96,150,162,57,-31,75,175,150,81,57,125
EPS in Rs,9.35,6.67,7.88,12.21,13.34,4.83,-2.61,6.37,14.93,12.76,6.52,4.58,9.99
Raw PDF,,,,,,,,,,,,,
