Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"8,929","10,312","10,838","12,165","11,555","11,932","13,247","13,169","12,646","13,133","15,735","16,204","17,832"
Expenses+,"7,272","8,380","8,708","9,750","9,271","9,562","11,174","10,418","10,289","10,340","12,906","12,475","14,757"
Operating Profit,"1,657","1,932","2,130","2,415","2,284","2,370","2,073","2,751","2,358","2,793","2,829","3,730","3,075"
OPM %,19%,19%,20%,20%,20%,20%,16%,21%,19%,21%,18%,23%,17%
Other Income+,595,351,552,356,444,335,399,348,392,509,576,359,"1,894"
Interest,16,12,7,12,30,47,75,120,147,224,287,314,344
Depreciation,76,87,92,93,93,95,98,102,119,118,119,119,289
Profit before tax,"2,160","2,184","2,584","2,666","2,606","2,564","2,299","2,876","2,484","2,961","2,999","3,656","4,336"
Tax %,21%,25%,22%,24%,23%,24%,40%,24%,27%,25%,29%,25%,19%
Net Profit+,"1,705","1,644","2,020","2,033","2,011","1,942","1,385","2,196","1,802","2,210","2,122","2,750","3,492"
EPS in Rs,60.25,58.11,71.39,71.78,72.05,69.55,49.61,78.62,64.52,79.15,75.99,98.38,131.02
Raw PDF,,,,,,,,,,,,,
