Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"160,923","124,036","282,506","322,706","421,624","396,728","303,849","491,246","632,291","601,581","612,065","662,247"
Expenses+,"118,610","84,901","229,702","265,817","346,805","344,623","254,375","411,373","556,764","499,198","523,205","559,128"
Operating Profit,"42,312","39,135","52,804","56,889","74,819","52,105","49,473","79,874","75,527","102,383","88,861","103,120"
OPM %,26%,32%,19%,18%,18%,13%,16%,16%,12%,17%,15%,16%
Other Income+,"5,955","1,067","12,724","10,429","9,567",982,"11,271","6,797",-30,"14,712","13,278","14,923"
Interest,"2,864","3,766","3,591","4,999","5,837","7,489","5,079","5,696","7,889","13,026","14,535","13,029"
Depreciation,"18,033","16,384","20,219","23,112","23,704","26,635","25,538","26,883","24,557","30,440","35,206","37,391"
Profit before tax,"27,370","20,052","41,718","39,208","54,846","18,962","30,126","54,091","43,051","73,629","52,398","67,623"
Tax %,35%,35%,30%,34%,38%,40%,29%,9%,24%,25%,27%,26%
Net Profit+,"17,703","13,102","29,169","26,068","33,938","11,456","21,360","49,294","32,778","55,273","38,329","49,793"
EPS in Rs,14.29,10.03,19.03,17.23,24.28,8.59,12.96,36.19,28.17,39.06,28.80,32.93
Dividend Payout %,44%,56%,40%,38%,29%,58%,28%,29%,40%,31%,43%,40%
