Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"3,966","4,199","4,574","4,561","4,469","4,632","4,030","5,718","6,298","6,893","7,783","9,128"
Expenses+,"3,857","4,106","4,220","4,287","4,238","4,022","3,626","4,649","5,196","5,625","6,195","7,043"
Operating Profit,109,92,354,274,231,610,404,"1,069","1,101","1,268","1,588","2,085"
OPM %,3%,2%,8%,6%,5%,13%,10%,19%,17%,18%,20%,23%
Other Income+,92,299,649,-689,228,126,95,367,157,64,-11,45
Interest,152,133,229,258,337,205,166,147,129,131,184,314
Depreciation,235,225,222,239,233,292,291,301,316,342,386,449
Profit before tax,-185,34,552,-912,-110,239,43,988,814,858,"1,007","1,366"
Tax %,2%,-24%,13%,2%,103%,62%,230%,20%,22%,25%,20%,22%
Net Profit+,-130,42,479,-934,-224,91,-56,790,633,645,809,"1,064"
EPS in Rs,-3.10,0.40,8.14,-19.46,-3.96,0.77,-1.45,7.35,7.80,7.93,10.26,13.80
Dividend Payout %,-1%,0%,0%,0%,0%,0%,0%,0%,13%,13%,10%,7%
