Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"18,009","14,745","16,545","17,376","17,720","17,095","12,086","12,925","17,249","14,812","16,327","15,683","16,817"
Expenses+,"16,382","13,795","14,740","16,696","16,678","16,432","12,761","12,683","16,464","14,714","15,183","14,205","14,781"
Operating Profit,"1,627",950,"1,804",680,"1,042",663,-675,242,785,99,"1,144","1,478","2,036"
OPM %,9%,6%,11%,4%,6%,4%,-6%,2%,5%,1%,7%,9%,12%
Other Income+,10,10,10,8,19,19,19,15,32,26,23,43,43
Interest,84,57,65,50,51,48,52,79,66,37,34,33,16
Depreciation,157,147,157,151,151,150,153,153,150,151,152,157,150
Profit before tax,"1,396",756,"1,593",486,859,484,-862,24,602,-64,982,"1,331","1,913"
Tax %,27%,26%,25%,25%,27%,26%,-26%,15%,22%,-37%,27%,25%,26%
Net Profit+,"1,013",556,"1,195",365,628,357,-634,21,470,-40,719,"1,002","1,422"
EPS in Rs,68.01,37.37,80.28,24.53,42.17,23.98,-42.55,1.40,31.56,-2.69,48.30,67.26,95.48
Raw PDF,,,,,,,,,,,,,
