Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,130,156,143,247,445,724,"1,149","2,184"
Expenses+,123,148,128,212,375,621,989,"1,899"
Operating Profit,7,8,14,35,70,103,160,285
OPM %,5%,5%,10%,14%,16%,14%,14%,13%
Other Income+,0,1,2,1,1,12,9,19
Interest,2,3,3,4,4,6,4,13
Depreciation,1,1,1,2,4,6,11,14
Profit before tax,4,5,11,30,63,102,154,277
Tax %,31%,27%,26%,26%,25%,26%,26%,26%
Net Profit+,3,4,8,22,47,76,114,206
EPS in Rs,4.74,6.91,14.55,39.68,9.22,13.47,20.21,36.15
Dividend Payout %,0%,0%,0%,0%,5%,15%,12%,8%
