Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"8,221","8,354","8,623","7,755","8,983","10,008","9,648","9,144","10,607","9,631","10,380","11,615"
Expenses+,"3,087","3,571","3,739","3,508","4,002","5,152","4,371","5,131","4,423","4,695","4,957","6,379"
Operating Profit,"5,134","4,783","4,884","4,248","4,981","4,856","5,277","4,013","6,184","4,936","5,423","5,236"
OPM %,62%,57%,57%,55%,55%,49%,55%,44%,58%,51%,52%,45%
Other Income+,"1,597","1,174","2,245","1,185","1,733",901,"1,087",981,743,"2,030","1,726","2,057"
Interest,"1,296","1,160","1,133",924,896,877,577,586,475,767,"1,189","1,423"
Depreciation,"1,715","1,432","1,462","1,469","1,658","1,614","1,292","1,190","1,215","1,184","1,193","1,976"
Profit before tax,"3,718","3,365","4,535","3,040","4,159","3,266","4,495","3,217","5,237","5,015","4,767","3,894"
Tax %,25%,30%,23%,8%,32%,-2%,20%,-17%,19%,20%,28%,-8%
Net Profit+,"2,798","2,365","3,480","2,785","2,836","3,345","3,600","3,774","4,261","4,000","3,412","4,220"
EPS in Rs,2.25,1.85,2.95,2.45,2.58,2.87,3.26,3.51,3.89,3.58,2.99,3.75
Dividend Payout %,27%,81%,61%,57%,56%,52%,49%,52%,48%,53%,64%,43%
