Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,196",986,"1,189","1,156","1,176","1,180",967,"1,138","1,197","1,210","1,297","1,388","1,471"
Expenses+,967,849,977,905,920,921,763,907,945,963,"1,019","1,080","1,119"
Operating Profit,228,137,213,250,256,259,203,230,252,247,278,308,352
OPM %,19%,14%,18%,22%,22%,22%,21%,20%,21%,20%,21%,22%,24%
Other Income+,3,0,2,1,2,2,3,6,33,-10,-1,-4,25
Interest,19,22,26,29,29,27,26,27,24,24,29,29,33
Depreciation,49,49,53,52,53,53,53,57,64,69,72,74,82
Profit before tax,164,65,136,170,176,181,128,153,198,145,176,202,262
Tax %,27%,27%,25%,26%,26%,26%,24%,23%,23%,22%,26%,26%,23%
Net Profit+,120,48,102,126,130,135,97,118,152,113,131,150,202
EPS in Rs,4.94,1.98,4.21,5.18,5.35,5.56,4.01,4.85,6.27,4.64,5.38,6.19,8.13
Raw PDF,,,,,,,,,,,,,
