Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,491,541,601,539,545,602,660,597,603,670,731,660,703
Expenses+,375,395,424,398,401,432,458,443,434,478,506,480,516
Operating Profit,116,146,178,141,145,170,202,154,169,192,224,179,187
OPM %,24%,27%,30%,26%,27%,28%,31%,26%,28%,29%,31%,27%,27%
Other Income+,14,14,18,18,18,21,22,25,26,28,25,-6,24
Interest,9,8,8,7,7,6,6,5,5,5,5,7,6
Depreciation,38,35,36,36,37,35,35,36,36,35,40,42,45
Profit before tax,83,118,152,116,120,150,183,138,153,181,204,124,160
Tax %,32%,29%,27%,29%,28%,28%,29%,29%,-1%,26%,25%,26%,17%
Net Profit+,57,84,111,82,86,108,131,98,156,134,152,91,132
EPS in Rs,3.40,4.95,6.55,4.87,5.06,6.37,7.73,5.78,9.26,7.90,8.99,5.40,7.84
Raw PDF,,,,,,,,,,,,,
