Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"38,152","35,983","32,776","36,154","38,213","36,465","31,182","36,859","37,825","35,842","30,187","34,924","46,490"
Expenses+,"28,819","22,431","22,738","23,183","26,826","22,126","22,565","24,541","26,034","23,321","23,471","25,593","33,817"
Operating Profit,"9,333","13,552","10,038","12,971","11,388","14,339","8,617","12,317","11,790","12,521","6,716","9,331","12,673"
OPM %,24%,38%,31%,36%,30%,39%,28%,33%,31%,35%,22%,27%,27%
Other Income+,"2,291","1,538","2,074","2,489","2,318","1,970","1,642","2,214","4,106","1,760","2,350","2,680","5,244"
Interest,195,178,182,227,232,209,208,226,241,265,287,321,344
Depreciation,"1,860","1,527","1,594","1,723","1,892","1,952","1,898","2,513","2,782","2,307","2,664","2,218","2,947"
Profit before tax,"9,569","13,385","10,336","13,510","11,582","14,147","8,153","11,792","12,873","11,709","6,115","9,473","14,627"
Tax %,28%,22%,22%,24%,26%,23%,23%,28%,25%,25%,30%,24%,25%
Net Profit+,"6,869","10,498","8,049","10,292","8,530","10,944","6,275","8,491","9,593","8,734","4,263","7,166","10,908"
EPS in Rs,11.16,17.08,13.06,16.64,13.91,17.78,10.21,13.80,15.58,14.19,7.07,11.61,17.59
Raw PDF,,,,,,,,,,,,,
